sku_id,sb_class,method,backtest_mae,backtest_bias,forecast_mean_next_horizon
CB-1093,Smooth,Pooled-seasonal Holt,8.61,-8.45,89.86
CB-1094,Smooth,Pooled-seasonal Holt,15.16,1.38,65.69
CB-1095,Intermittent,Croston-SBA,4.93,4.93,4.93
CB-1096,Smooth,Pooled-seasonal Holt,2.5,-0.02,56.63
CB-1097,Intermittent,Croston-SBA,13.74,-3.78,8.85
CB-1098,Smooth,Pooled-seasonal Holt,14.7,0.55,50.94
CB-1099,Intermittent,Croston-SBA,12.38,-7.22,7.33
CB-1100,Smooth,Pooled-seasonal Holt,7.93,-4.15,137.87
CB-1101,Smooth,Pooled-seasonal Holt,8.75,-4.58,60.45
CB-1102,Smooth,Pooled-seasonal Holt,7.75,-5.17,90.33
CB-1103,Smooth,Pooled-seasonal Holt,23.26,7.83,79.43
CB-1104,Smooth,Pooled-seasonal Holt,6.06,0.48,142.34
CB-1105,Smooth,Pooled-seasonal Holt,8.25,-8.01,98.3
CB-1106,Smooth,Pooled-seasonal Holt,7.13,-6.69,79.51
CB-1107,Smooth,Pooled-seasonal Holt,6.22,-3.63,131.0
CB-1108,Smooth,Pooled-seasonal Holt,8.88,-8.2,125.43
CB-1109,Smooth,Pooled-seasonal Holt,3.77,-3.77,56.9
CB-1110,Smooth,Pooled-seasonal Holt,39.45,-22.38,105.31
CB-1111,Smooth,Pooled-seasonal Holt,10.59,-5.77,123.74
CB-1112,Intermittent,Croston-SBA,13.8,-10.44,4.09
CB-1113,Smooth,Pooled-seasonal Holt,4.84,2.95,146.37
CB-1114,Smooth,Pooled-seasonal Holt,3.06,-2.55,55.96
CB-1115,Smooth,Pooled-seasonal Holt,2.95,0.77,66.89
CB-1116,Smooth,Pooled-seasonal Holt,24.19,-13.73,59.06
CB-1117,Intermittent,Croston-SBA,6.82,6.82,6.82
CB-1118,Smooth,Pooled-seasonal Holt,12.27,-12.27,148.19
CB-1119,Intermittent,Croston-SBA,8.78,-2.38,5.66
CB-1120,Intermittent,Croston-SBA,9.67,-4.66,3.72
CB-1121,Intermittent,Croston-SBA,12.1,3.96,9.42
CB-1122,Smooth,Pooled-seasonal Holt,15.69,-0.8,65.38
CB-1123,Erratic,Pooled-seasonal Holt,13.09,13.09,76.2
CB-1124,Smooth,Pooled-seasonal Holt,6.18,-2.42,115.42
CB-1125,Smooth,Pooled-seasonal Holt,16.48,6.89,78.14
CB-1126,Smooth,Pooled-seasonal Holt,9.69,-6.54,144.1
CB-1127,Smooth,Pooled-seasonal Holt,3.93,-3.65,78.65
CB-1128,Smooth,Pooled-seasonal Holt,2.94,0.92,89.42
CB-1129,Intermittent,Croston-SBA,13.09,0.3,8.58
CB-1130,Smooth,Pooled-seasonal Holt,3.05,-0.3,21.47
CB-1131,Smooth,Pooled-seasonal Holt,8.39,-4.16,47.05
CB-1132,Smooth,Pooled-seasonal Holt,12.51,-6.26,65.28
CB-1133,Smooth,Pooled-seasonal Holt,6.99,-2.19,43.1
CB-1134,Intermittent,Croston-SBA,21.0,-14.56,9.81
CB-1135,Smooth,Pooled-seasonal Holt,12.17,-11.8,45.51
CB-1136,Smooth,Pooled-seasonal Holt,4.42,-0.19,87.98
CB-1137,Smooth,Pooled-seasonal Holt,12.31,-7.99,137.32
CB-1138,Smooth,Pooled-seasonal Holt,16.32,7.17,69.66
CB-1139,Intermittent,Croston-SBA,4.59,3.2,4.33
CB-1140,Smooth,Pooled-seasonal Holt,7.17,4.68,35.68
CB-1141,Smooth,Pooled-seasonal Holt,11.92,1.89,38.79
CB-1142,Smooth,Pooled-seasonal Holt,21.97,-16.69,79.06
CB-1143,Smooth,Pooled-seasonal Holt,11.41,-11.18,44.92
CB-1144,Smooth,Pooled-seasonal Holt,8.4,-3.42,32.66
CB-1145,Intermittent,Croston-SBA,10.24,-2.97,4.76
CB-1146,Smooth,Pooled-seasonal Holt,8.63,-0.23,113.06
CB-1147,Smooth,Pooled-seasonal Holt,3.13,-2.01,52.69
CB-1148,Smooth,Pooled-seasonal Holt,4.21,0.99,61.31
CB-1149,Intermittent,Croston-SBA,13.41,-2.06,7.18
CB-1150,Smooth,Pooled-seasonal Holt,10.79,-7.3,119.09
CB-1151,Smooth,Pooled-seasonal Holt,7.05,-4.36,115.05
CB-1152,Smooth,Pooled-seasonal Holt,7.62,-4.76,97.6
CB-1153,Smooth,Pooled-seasonal Holt,11.02,1.51,47.35
CB-1154,Smooth,Pooled-seasonal Holt,34.77,-10.75,112.34
CB-1155,Intermittent,Croston-SBA,6.78,2.62,5.57
CB-1156,Smooth,Pooled-seasonal Holt,3.21,-0.49,59.1
CB-1157,Smooth,Pooled-seasonal Holt,8.34,2.03,41.97
CB-1158,Smooth,Pooled-seasonal Holt,7.13,-3.44,34.38
CB-1159,Smooth,Pooled-seasonal Holt,13.31,4.15,72.21
CB-1160,Smooth,Pooled-seasonal Holt,11.57,-11.57,61.4
CB-1161,Smooth,Pooled-seasonal Holt,9.16,-3.04,122.65
CB-1162,Smooth,Pooled-seasonal Holt,9.95,-4.97,138.9
CB-1163,Intermittent,Croston-SBA,14.84,4.55,11.65
CB-1164,Smooth,Pooled-seasonal Holt,3.55,-3.34,62.81
CB-1165,Smooth,Pooled-seasonal Holt,25.64,11.92,88.63
CB-1166,Intermittent,Croston-SBA,8.13,8.13,8.13
CB-1167,Smooth,Pooled-seasonal Holt,4.07,0.12,56.7
CB-1168,Smooth,Pooled-seasonal Holt,4.41,-3.46,66.31
CB-1169,Smooth,Pooled-seasonal Holt,18.41,-4.45,58.32
CB-1170,Smooth,Pooled-seasonal Holt,10.92,-9.32,119.54
CB-1171,Intermittent,Croston-SBA,14.0,-2.3,10.83
CB-1172,Smooth,Pooled-seasonal Holt,6.69,-3.95,138.94
CB-1173,Intermittent,Croston-SBA,13.7,5.72,11.45
CB-1174,Intermittent,Croston-SBA,8.29,-0.03,4.97
CB-1175,Smooth,Pooled-seasonal Holt,2.62,0.4,76.17
CB-1176,Smooth,Pooled-seasonal Holt,17.45,-4.94,67.57
CB-1177,Intermittent,Croston-SBA,10.53,-3.46,4.18
CB-1178,Smooth,Pooled-seasonal Holt,4.39,-0.05,109.3
CB-1179,Smooth,Pooled-seasonal Holt,26.41,-12.79,67.95
CB-1180,Smooth,Pooled-seasonal Holt,4.87,0.88,106.54
CB-1181,Smooth,Pooled-seasonal Holt,5.61,-4.86,92.23
CB-1182,Smooth,Pooled-seasonal Holt,6.52,-1.57,109.71
CB-1183,Smooth,Pooled-seasonal Holt,4.17,-0.63,94.8
CB-1184,Intermittent,Croston-SBA,10.79,3.59,8.61
CB-1185,Smooth,Pooled-seasonal Holt,24.94,-24.94,73.84
CB-1186,Smooth,Pooled-seasonal Holt,7.9,-5.7,113.02
CB-1187,Smooth,Pooled-seasonal Holt,13.08,-4.96,47.29
CB-1188,Smooth,Pooled-seasonal Holt,9.17,-2.9,106.11
CB-1189,Smooth,Pooled-seasonal Holt,7.56,-5.5,114.65
CB-1190,Smooth,Pooled-seasonal Holt,4.07,-3.68,54.09
CB-1191,Smooth,Pooled-seasonal Holt,6.44,-5.22,139.13
CB-1192,Smooth,Pooled-seasonal Holt,15.15,-10.67,63.31
CB-1193,Smooth,Pooled-seasonal Holt,3.56,-1.53,80.26
CB-1194,Smooth,Pooled-seasonal Holt,6.21,-3.9,139.88
CB-1195,Smooth,Pooled-seasonal Holt,7.15,2.71,125.93
CB-1196,Smooth,Pooled-seasonal Holt,25.25,3.68,98.15
CB-1197,Smooth,Pooled-seasonal Holt,12.8,-1.63,55.95
CB-1198,Smooth,Pooled-seasonal Holt,14.89,-14.89,143.11
CB-1199,Smooth,Pooled-seasonal Holt,6.91,-3.18,28.86
CB-1200,Smooth,Pooled-seasonal Holt,6.57,-0.75,104.74
