week_start_date,sku_id,product_family,demand_qty,future_4wk_avg_demand,unit_cost,on_hand_qty,supplier_id,lead_time_days,stockout_flag
2025-03-24,CB-1092,Molded Case,40.0,38.2,21.3,45,SUP-108,7,0
2024-04-01,CB-1157,Trip Unit,56.0,36.8,106.92,0,SUP-101,7,1
2025-06-23,CB-1045,Trip Unit,51.0,53.2,56.81,218,SUP-109,35,0
2024-02-26,CB-1135,Contact Assembly,32.0,37.0,131.31,142,SUP-103,28,0
2025-01-06,CB-1113,Trip Unit,141.0,133.8,44.52,48,SUP-105,21,0
2024-11-25,CB-1001,Trip Unit,0.0,4.5,154.9,27,SUP-101,28,0
2024-09-23,CB-1030,Terminal Block,74.0,76.5,12.85,196,SUP-106,21,0
2025-01-20,CB-1031,Contact Assembly,65.0,66.5,119.99,93,SUP-107,42,0
2025-04-07,CB-1056,Molded Case,0.0,0.0,17.18,53,SUP-108,42,0
2024-11-25,CB-1139,Contact Assembly,0.0,10.2,47.48,80,SUP-107,42,0
2024-07-08,CB-1182,Terminal Block,86.0,94.5,18.78,61,SUP-102,42,0
2024-06-10,CB-1172,Molded Case,116.0,124.8,144.67,242,SUP-104,14,0
2024-03-18,CB-1199,Contact Assembly,24.0,25.8,113.62,4,SUP-107,14,0
2025-09-08,CB-1156,Molded Case,45.0,44.5,153.47,225,SUP-100,35,0
2024-11-11,CB-1011,Contact Assembly,92.0,93.5,10.28,421,SUP-111,21,0
2025-04-28,CB-1054,Terminal Block,164.0,161.2,107.39,154,SUP-106,42,0
2024-11-11,CB-1176,Molded Case,50.0,48.0,114.33,76,SUP-108,7,0
2025-05-19,CB-1191,Contact Assembly,142.0,143.2,110.95,234,SUP-111,28,0
2024-04-29,CB-1058,Terminal Block,16.0,26.8,86.54,28,SUP-110,21,0
2024-04-29,CB-1180,Molded Case,86.0,96.5,111.89,273,SUP-100,42,0
2025-07-07,CB-1200,Molded Case,90.0,93.0,93.51,149,SUP-108,21,0
2024-07-01,CB-1043,Contact Assembly,31.0,34.5,50.82,53,SUP-107,35,0
2025-06-02,CB-1013,Trip Unit,117.0,122.5,60.33,69,SUP-101,21,0
2024-09-30,CB-1059,Contact Assembly,55.0,47.5,94.92,178,SUP-111,42,0
2025-09-15,CB-1175,Contact Assembly,55.0,54.2,92.05,35,SUP-107,7,0
2025-04-07,CB-1039,Contact Assembly,78.0,59.5,18.06,26,SUP-103,28,0
2024-09-23,CB-1108,Molded Case,73.0,74.8,6.25,151,SUP-100,14,0
2025-07-28,CB-1177,Trip Unit,0.0,16.5,132.9,0,SUP-109,21,0
2024-02-12,CB-1054,Terminal Block,112.0,129.2,107.39,380,SUP-106,42,0
2025-08-18,CB-1090,Terminal Block,22.0,5.5,53.34,37,SUP-106,21,0
2025-10-06,CB-1103,Contact Assembly,60.0,62.2,21.19,97,SUP-107,42,0
2025-06-30,CB-1120,Molded Case,27.0,6.8,116.54,18,SUP-100,42,0
2024-04-29,CB-1079,Contact Assembly,52.0,47.0,157.73,173,SUP-107,21,0
2025-07-21,CB-1008,Molded Case,8.0,13.0,114.62,81,SUP-108,28,0
2024-01-08,CB-1007,Contact Assembly,124.0,120.0,13.83,150,SUP-107,7,0
2024-08-19,CB-1156,Molded Case,36.0,42.0,153.47,123,SUP-100,35,0
2024-06-10,CB-1005,Trip Unit,62.0,64.8,116.79,121,SUP-105,14,0
2024-11-04,CB-1052,Molded Case,63.0,65.0,106.81,61,SUP-104,14,0
2025-06-09,CB-1122,Terminal Block,80.0,57.2,154.72,86,SUP-102,7,0
2024-09-09,CB-1006,Terminal Block,0.0,0.0,81.21,29,SUP-106,42,0
2024-08-12,CB-1005,Trip Unit,51.0,49.2,116.79,124,SUP-105,14,0
2024-07-15,CB-1051,Contact Assembly,12.0,18.2,28.15,69,SUP-103,14,0
2025-10-20,CB-1123,Contact Assembly,44.0,45.0,116.02,378,SUP-103,35,0
2024-11-25,CB-1169,Trip Unit,45.0,29.0,3.46,278,SUP-101,42,0
2025-08-18,CB-1062,Terminal Block,42.0,45.5,21.77,160,SUP-102,42,0
2024-04-01,CB-1072,Molded Case,0.0,0.0,135.38,41,SUP-100,21,0
2025-05-05,CB-1151,Contact Assembly,125.0,123.8,80.23,31,SUP-107,7,0
2024-10-07,CB-1026,Terminal Block,0.0,12.2,115.16,17,SUP-102,21,0
2025-03-31,CB-1069,Trip Unit,155.0,165.0,47.93,0,SUP-109,28,1
2025-06-02,CB-1108,Molded Case,136.0,123.2,6.25,292,SUP-100,14,0
2024-07-22,CB-1069,Trip Unit,111.0,115.5,47.93,146,SUP-109,28,0
2024-02-12,CB-1103,Contact Assembly,77.0,84.5,21.19,217,SUP-107,42,0
2025-09-08,CB-1021,Trip Unit,60.0,65.8,142.18,373,SUP-109,35,0
2025-01-27,CB-1113,Trip Unit,150.0,141.8,44.52,116,SUP-105,21,0
2025-03-31,CB-1161,Trip Unit,123.0,127.5,141.18,0,SUP-105,28,1
2024-01-22,CB-1130,Terminal Block,27.0,25.0,153.12,75,SUP-110,21,0
2024-06-24,CB-1187,Contact Assembly,51.0,45.5,169.46,140,SUP-107,14,0
2025-12-15,CB-1196,Molded Case,61.0,73.5,102.92,137,SUP-104,21,0
2024-12-16,CB-1019,Contact Assembly,0.0,4.2,53.68,57,SUP-107,42,0
2025-12-22,CB-1190,Terminal Block,54.0,49.0,51.86,164,SUP-110,21,0
2024-07-22,CB-1083,Contact Assembly,91.0,86.5,122.78,271,SUP-111,14,0
2025-08-04,CB-1092,Molded Case,16.0,17.0,21.3,88,SUP-108,7,0
2024-06-17,CB-1024,Molded Case,67.0,62.5,22.83,26,SUP-100,21,0
2024-03-18,CB-1007,Contact Assembly,136.0,134.2,13.83,331,SUP-107,7,0
2024-02-26,CB-1182,Terminal Block,105.0,103.8,18.78,461,SUP-102,42,0
2024-03-18,CB-1182,Terminal Block,123.0,111.2,18.78,128,SUP-102,42,0
2025-05-26,CB-1160,Molded Case,60.0,67.0,81.01,129,SUP-104,35,0
2024-04-01,CB-1188,Molded Case,109.0,104.8,92.73,148,SUP-108,28,0
2024-07-15,CB-1076,Molded Case,77.0,52.2,49.09,258,SUP-104,21,0
2025-08-04,CB-1142,Terminal Block,68.0,73.5,85.21,234,SUP-110,14,0
2024-10-21,CB-1127,Contact Assembly,53.0,50.0,124.22,155,SUP-107,21,0
2024-07-01,CB-1044,Molded Case,82.0,85.8,162.71,250,SUP-108,21,0
2024-08-19,CB-1072,Molded Case,0.0,0.0,135.38,41,SUP-100,21,0
2024-01-15,CB-1165,Trip Unit,105.0,82.7,18.55,11,SUP-109,7,0
2024-01-15,CB-1200,Molded Case,93.0,86.3,93.51,0,SUP-108,21,1
2024-10-21,CB-1048,Molded Case,45.0,49.2,113.85,264,SUP-100,35,0
2025-10-13,CB-1044,Molded Case,77.0,70.8,162.71,115,SUP-108,21,0
2024-09-16,CB-1062,Terminal Block,38.0,33.2,21.77,198,SUP-102,42,0
2025-11-03,CB-1188,Molded Case,87.0,83.2,92.73,82,SUP-108,28,0
2024-12-09,CB-1019,Contact Assembly,0.0,4.2,53.68,57,SUP-107,42,0
2025-10-27,CB-1075,Contact Assembly,37.0,80.2,19.27,112,SUP-103,21,0
2025-03-17,CB-1067,Contact Assembly,119.0,117.8,145.96,54,SUP-107,14,0
2025-06-16,CB-1045,Trip Unit,46.0,69.0,56.81,269,SUP-109,35,0
2024-04-01,CB-1079,Contact Assembly,57.0,52.5,157.73,0,SUP-107,21,1
2025-06-16,CB-1159,Contact Assembly,57.0,62.8,54.93,167,SUP-103,35,0
2025-04-14,CB-1160,Molded Case,87.0,61.2,81.01,0,SUP-104,35,1
2025-04-21,CB-1178,Terminal Block,105.0,114.5,50.56,246,SUP-110,7,0
2024-02-26,CB-1048,Molded Case,78.0,72.8,113.85,233,SUP-100,35,0
2025-10-20,CB-1159,Contact Assembly,60.0,58.8,54.93,76,SUP-103,35,0
2025-08-11,CB-1042,Terminal Block,0.0,4.8,140.73,68,SUP-106,35,0
2024-04-08,CB-1175,Contact Assembly,84.0,78.0,92.05,249,SUP-107,7,0
2024-03-25,CB-1124,Molded Case,120.0,117.2,27.31,163,SUP-104,21,0
2025-01-20,CB-1067,Contact Assembly,88.0,87.8,145.96,233,SUP-107,14,0
2024-01-29,CB-1049,Trip Unit,78.0,72.8,17.49,199,SUP-101,7,0
2024-05-13,CB-1151,Contact Assembly,87.0,109.5,80.23,231,SUP-107,7,0
2024-12-09,CB-1073,Trip Unit,0.0,0.0,94.6,28,SUP-101,14,0
2025-11-10,CB-1152,Molded Case,63.0,71.5,132.02,263,SUP-108,42,0
2025-07-28,CB-1167,Contact Assembly,38.0,47.5,140.38,187,SUP-111,21,0
2024-11-25,CB-1185,Trip Unit,110.0,56.2,170.42,192,SUP-105,21,0
2024-01-29,CB-1107,Contact Assembly,123.0,114.0,29.77,304,SUP-111,7,0
2024-05-27,CB-1030,Terminal Block,112.0,108.5,12.85,21,SUP-106,21,0
2024-07-22,CB-1015,Contact Assembly,100.0,106.5,86.94,443,SUP-103,21,0
2024-12-23,CB-1166,Terminal Block,38.0,17.8,7.65,0,SUP-110,28,1
2025-11-24,CB-1147,Contact Assembly,44.0,43.2,121.64,221,SUP-103,42,0
2024-05-06,CB-1096,Molded Case,60.0,58.5,21.87,113,SUP-100,21,0
2024-01-29,CB-1061,Trip Unit,0.0,13.2,27.39,22,SUP-101,7,0
2025-06-23,CB-1165,Trip Unit,69.0,86.2,18.55,367,SUP-109,7,0
2025-01-20,CB-1001,Trip Unit,0.0,0.0,154.9,24,SUP-101,28,0
2024-01-22,CB-1149,Trip Unit,0.0,12.8,67.14,11,SUP-105,28,0
2024-11-04,CB-1067,Contact Assembly,68.0,72.5,145.96,81,SUP-107,14,0
2024-08-12,CB-1046,Terminal Block,53.0,42.5,33.88,149,SUP-110,14,0
2025-01-20,CB-1041,Trip Unit,0.0,7.2,49.69,28,SUP-105,21,0
2024-08-19,CB-1061,Trip Unit,7.0,16.0,27.39,16,SUP-101,7,0
2024-03-04,CB-1158,Terminal Block,49.0,38.5,4.68,27,SUP-102,7,0
2025-01-13,CB-1065,Trip Unit,81.0,72.0,43.36,257,SUP-105,28,0
2025-02-03,CB-1177,Trip Unit,0.0,0.0,132.9,46,SUP-109,21,0
2025-06-09,CB-1055,Contact Assembly,109.0,102.8,88.11,55,SUP-107,7,0
2025-04-21,CB-1065,Trip Unit,94.0,89.5,43.36,0,SUP-105,28,1
2025-10-13,CB-1025,Trip Unit,100.0,84.8,102.83,288,SUP-101,28,0
2024-07-22,CB-1049,Trip Unit,105.0,98.2,17.49,172,SUP-101,7,0
2024-02-05,CB-1150,Terminal Block,92.0,95.8,30.48,76,SUP-106,14,0
2024-09-30,CB-1011,Contact Assembly,88.0,87.0,10.28,472,SUP-111,21,0
2024-08-19,CB-1067,Contact Assembly,72.0,71.0,145.96,138,SUP-107,14,0
2024-10-14,CB-1056,Molded Case,0.0,0.0,17.18,26,SUP-108,42,0
2025-03-17,CB-1048,Molded Case,80.0,78.2,113.85,183,SUP-100,35,0
2025-04-07,CB-1193,Trip Unit,87.0,91.2,106.92,13,SUP-101,42,0
2025-02-24,CB-1025,Trip Unit,137.0,121.5,102.83,0,SUP-101,28,1
2025-06-16,CB-1091,Contact Assembly,8.0,10.8,101.05,2,SUP-107,21,0
2024-01-29,CB-1021,Trip Unit,88.0,77.8,142.18,0,SUP-109,35,1
2024-07-15,CB-1145,Trip Unit,0.0,0.0,23.29,55,SUP-101,42,0
2024-10-21,CB-1038,Terminal Block,51.0,45.5,56.02,256,SUP-102,35,0
2024-08-12,CB-1112,Molded Case,0.0,0.0,153.58,24,SUP-104,14,0
2024-04-08,CB-1126,Terminal Block,154.0,156.0,67.53,352,SUP-106,21,0
2024-07-22,CB-1093,Trip Unit,68.0,67.0,174.01,113,SUP-109,35,0
2024-05-20,CB-1079,Contact Assembly,45.0,48.8,157.73,34,SUP-107,21,0
2025-10-06,CB-1112,Molded Case,0.0,0.0,153.58,30,SUP-104,14,0
2024-06-17,CB-1151,Contact Assembly,103.0,103.2,80.23,92,SUP-107,7,0
2025-05-12,CB-1165,Trip Unit,49.0,74.5,18.55,330,SUP-109,7,0
2024-01-15,CB-1001,Trip Unit,0.0,0.0,154.9,2,SUP-101,28,0
2024-05-27,CB-1174,Terminal Block,0.0,0.0,9.63,18,SUP-106,35,0
2024-09-23,CB-1103,Contact Assembly,53.0,44.8,21.19,450,SUP-107,42,0
2025-12-08,CB-1102,Terminal Block,69.0,74.5,44.51,152,SUP-106,42,0
2025-01-20,CB-1162,Terminal Block,141.0,131.5,179.47,173,SUP-106,42,0
2025-12-01,CB-1167,Contact Assembly,42.0,42.0,140.38,184,SUP-111,21,0
2024-09-23,CB-1024,Molded Case,42.0,41.5,22.83,266,SUP-100,21,0
2025-11-17,CB-1144,Molded Case,21.0,22.8,108.93,97,SUP-100,35,0
2024-01-29,CB-1154,Terminal Block,96.0,89.2,69.3,0,SUP-110,42,1
2025-01-06,CB-1114,Terminal Block,53.0,50.5,103.89,179,SUP-106,14,0
2024-12-09,CB-1174,Terminal Block,0.0,19.0,9.63,0,SUP-106,35,0
2025-02-03,CB-1082,Terminal Block,76.0,81.5,4.97,282,SUP-110,42,0
2025-06-23,CB-1166,Terminal Block,50.0,12.5,7.65,10,SUP-110,28,0
2024-05-27,CB-1057,Trip Unit,31.0,28.8,168.96,90,SUP-109,35,0
2024-04-22,CB-1024,Molded Case,62.0,66.5,22.83,70,SUP-100,21,0
2024-04-22,CB-1168,Molded Case,68.0,66.5,164.14,88,SUP-100,7,0
2024-12-23,CB-1005,Trip Unit,61.0,61.5,116.79,144,SUP-105,14,0
2024-12-09,CB-1135,Contact Assembly,37.0,32.8,131.31,105,SUP-103,28,0
2024-07-15,CB-1112,Molded Case,0.0,3.0,153.58,22,SUP-104,14,0
2024-06-17,CB-1010,Terminal Block,0.0,0.0,140.66,58,SUP-110,21,0
2025-06-30,CB-1042,Terminal Block,0.0,0.0,140.73,68,SUP-106,35,0
2025-01-27,CB-1142,Terminal Block,63.0,62.2,85.21,182,SUP-110,14,0
2025-03-10,CB-1131,Contact Assembly,77.0,64.8,97.06,41,SUP-111,14,0
2025-09-29,CB-1170,Terminal Block,86.0,84.0,110.05,229,SUP-102,7,0
2024-06-10,CB-1181,Trip Unit,81.0,83.2,128.45,41,SUP-101,14,0
2025-07-07,CB-1069,Trip Unit,156.0,142.5,47.93,0,SUP-109,28,1
2025-09-01,CB-1141,Trip Unit,41.0,33.5,102.78,47,SUP-109,14,0
2024-11-25,CB-1165,Trip Unit,96.0,88.5,18.55,322,SUP-109,7,0
2025-06-09,CB-1035,Contact Assembly,131.0,148.0,84.48,232,SUP-111,35,0
2024-04-22,CB-1150,Terminal Block,108.0,116.2,30.48,29,SUP-106,14,0
2025-07-28,CB-1027,Contact Assembly,77.0,63.8,56.45,23,SUP-103,7,0
2025-01-06,CB-1099,Contact Assembly,0.0,4.2,75.73,7,SUP-103,35,0
2024-01-01,CB-1097,Trip Unit,17.0,54.0,43.79,51,SUP-101,14,0
2025-10-20,CB-1176,Molded Case,55.0,55.2,114.33,119,SUP-108,7,0
2024-04-22,CB-1049,Trip Unit,145.0,97.5,17.49,46,SUP-101,7,0
2024-07-15,CB-1083,Contact Assembly,92.0,90.2,122.78,362,SUP-111,14,0
2025-10-20,CB-1056,Molded Case,0.0,10.2,17.18,3,SUP-108,42,0
2025-05-05,CB-1002,Terminal Block,98.0,70.2,19.22,92,SUP-102,21,0
2025-10-06,CB-1196,Molded Case,68.0,69.0,102.92,192,SUP-104,21,0
2025-04-21,CB-1100,Molded Case,139.0,150.0,78.09,397,SUP-104,28,0
2025-08-25,CB-1018,Terminal Block,112.0,98.8,150.23,389,SUP-106,35,0
2025-07-21,CB-1185,Trip Unit,30.0,68.0,170.42,88,SUP-105,21,0
2025-07-14,CB-1182,Terminal Block,84.0,94.8,18.78,111,SUP-102,42,0
2025-05-12,CB-1009,Trip Unit,0.0,0.0,174.8,58,SUP-109,35,0
2024-08-12,CB-1161,Trip Unit,93.0,86.8,141.18,279,SUP-105,28,0
2025-05-05,CB-1127,Contact Assembly,91.0,87.2,124.22,24,SUP-107,21,0
2024-06-24,CB-1175,Contact Assembly,58.0,63.5,92.05,257,SUP-107,7,0
2024-05-13,CB-1162,Terminal Block,126.0,131.5,179.47,92,SUP-106,42,0
2025-10-20,CB-1143,Contact Assembly,24.0,26.2,144.37,118,SUP-111,35,0
2025-05-19,CB-1042,Terminal Block,0.0,2.8,140.73,17,SUP-106,35,0
2024-04-08,CB-1071,Contact Assembly,126.0,114.8,178.65,14,SUP-111,14,0
2024-04-01,CB-1159,Contact Assembly,88.0,54.0,54.93,179,SUP-103,35,0
2024-03-11,CB-1088,Molded Case,39.0,9.8,73.07,0,SUP-104,7,1
2024-12-09,CB-1036,Molded Case,52.0,50.0,91.44,136,SUP-100,35,0
2025-12-22,CB-1081,Trip Unit,0.0,0.0,91.38,61,SUP-109,14,0
2024-04-08,CB-1199,Contact Assembly,43.0,33.0,113.62,0,SUP-107,14,1
2024-07-29,CB-1170,Terminal Block,84.0,83.0,110.05,298,SUP-102,7,0
2025-06-02,CB-1097,Trip Unit,58.0,25.5,43.79,0,SUP-101,14,1
2025-07-28,CB-1072,Molded Case,31.0,17.8,135.38,0,SUP-100,21,1
2025-06-16,CB-1158,Terminal Block,25.0,33.0,4.68,139,SUP-102,7,0
2025-07-28,CB-1125,Trip Unit,78.0,80.5,43.78,43,SUP-105,7,0
2024-01-22,CB-1052,Molded Case,75.0,72.8,106.81,271,SUP-104,14,0
2025-07-14,CB-1082,Terminal Block,82.0,80.0,4.97,152,SUP-110,42,0
2025-07-07,CB-1156,Molded Case,57.0,54.0,153.47,13,SUP-100,35,0
2025-07-07,CB-1183,Contact Assembly,98.0,86.8,83.89,164,SUP-103,21,0
2025-12-22,CB-1034,Terminal Block,100.0,90.3,6.53,332,SUP-110,21,0
2025-02-03,CB-1008,Molded Case,0.0,0.0,114.62,97,SUP-108,28,0
2024-07-08,CB-1176,Molded Case,91.0,58.8,114.33,164,SUP-108,7,0
2024-03-18,CB-1048,Molded Case,69.0,71.0,113.85,22,SUP-100,35,0
2025-05-12,CB-1185,Trip Unit,149.0,80.8,170.42,204,SUP-105,21,0
2024-02-05,CB-1177,Trip Unit,0.0,21.5,132.9,0,SUP-109,21,0
2025-09-15,CB-1200,Molded Case,68.0,77.8,93.51,65,SUP-108,21,0
2024-01-08,CB-1116,Molded Case,41.0,49.5,20.55,55,SUP-108,7,0
2024-07-22,CB-1171,Contact Assembly,0.0,0.0,153.27,104,SUP-103,42,0
2024-05-27,CB-1011,Contact Assembly,121.0,131.8,10.28,403,SUP-111,21,0
2024-04-08,CB-1160,Molded Case,51.0,50.8,81.01,58,SUP-104,35,0
2024-10-07,CB-1014,Terminal Block,58.0,64.2,85.85,238,SUP-102,42,0
2024-12-30,CB-1160,Molded Case,44.0,36.8,81.01,222,SUP-104,35,0
2025-03-31,CB-1182,Terminal Block,135.0,122.5,18.78,127,SUP-102,42,0
2025-07-07,CB-1068,Molded Case,66.0,66.5,171.64,73,SUP-108,35,0
2024-10-07,CB-1140,Molded Case,26.0,24.2,19.37,81,SUP-108,42,0
2024-06-17,CB-1143,Contact Assembly,18.0,25.8,144.37,166,SUP-111,35,0
2024-12-23,CB-1079,Contact Assembly,42.0,40.5,157.73,112,SUP-107,21,0
2024-11-04,CB-1039,Contact Assembly,30.0,27.2,18.06,157,SUP-103,28,0
2024-03-04,CB-1069,Trip Unit,121.0,132.8,47.93,269,SUP-109,28,0
2024-05-20,CB-1154,Terminal Block,42.0,77.2,69.3,428,SUP-110,42,0
2024-11-04,CB-1007,Contact Assembly,101.0,94.2,13.83,111,SUP-107,7,0
2025-09-22,CB-1046,Terminal Block,46.0,45.2,33.88,42,SUP-110,14,0
2024-08-05,CB-1130,Terminal Block,16.0,17.8,153.12,60,SUP-110,21,0
2025-12-01,CB-1105,Trip Unit,96.0,83.8,57.58,296,SUP-109,14,0
2024-11-11,CB-1166,Terminal Block,0.0,22.5,7.65,21,SUP-110,28,0
2024-01-29,CB-1058,Terminal Block,22.0,19.2,86.54,56,SUP-110,21,0
2024-01-01,CB-1052,Molded Case,82.0,80.0,106.81,173,SUP-104,14,0
2024-05-13,CB-1035,Contact Assembly,143.0,136.0,84.48,463,SUP-111,35,0
2025-06-23,CB-1108,Molded Case,117.0,118.0,6.25,382,SUP-100,14,0
2025-02-03,CB-1099,Contact Assembly,6.0,7.5,75.73,64,SUP-103,35,0
2025-05-05,CB-1100,Molded Case,169.0,157.0,78.09,70,SUP-104,28,0
2025-10-27,CB-1022,Terminal Block,36.0,33.8,127.67,144,SUP-110,7,0
2025-03-10,CB-1084,Molded Case,162.0,173.8,92.37,214,SUP-100,7,0
2025-06-09,CB-1199,Contact Assembly,24.0,28.5,113.62,87,SUP-107,14,0
2024-10-21,CB-1179,Contact Assembly,72.0,43.5,111.05,79,SUP-111,28,0
2025-06-16,CB-1076,Molded Case,50.0,76.5,49.09,78,SUP-104,21,0
2024-05-20,CB-1027,Contact Assembly,17.0,50.2,56.45,289,SUP-103,7,0
2024-07-01,CB-1066,Terminal Block,44.0,46.2,100.99,81,SUP-106,42,0
2025-03-24,CB-1060,Molded Case,111.0,98.8,6.34,187,SUP-100,14,0
2024-01-15,CB-1070,Terminal Block,0.0,0.0,31.72,15,SUP-110,28,0
2024-11-25,CB-1149,Trip Unit,0.0,2.0,67.14,57,SUP-105,28,0
2024-10-14,CB-1005,Trip Unit,45.0,44.2,116.79,202,SUP-105,14,0
2024-06-03,CB-1120,Molded Case,32.0,10.5,116.54,0,SUP-100,42,1
2025-04-07,CB-1015,Contact Assembly,148.0,146.2,86.94,52,SUP-103,21,0
2025-11-03,CB-1110,Terminal Block,26.0,58.2,123.33,304,SUP-102,14,0
2024-05-20,CB-1155,Contact Assembly,0.0,8.8,171.34,34,SUP-111,7,0
2025-05-26,CB-1112,Molded Case,0.0,0.0,153.58,28,SUP-104,14,0
2025-03-24,CB-1133,Trip Unit,43.0,35.2,125.83,50,SUP-101,7,0
2024-04-22,CB-1106,Terminal Block,71.0,71.0,165.97,205,SUP-110,35,0
2025-06-02,CB-1153,Trip Unit,45.0,50.8,141.0,198,SUP-109,42,0
2025-10-13,CB-1058,Terminal Block,34.0,23.8,86.54,62,SUP-110,21,0
2024-06-03,CB-1016,Molded Case,112.0,117.5,121.39,333,SUP-104,7,0
2024-04-15,CB-1136,Molded Case,83.0,84.0,168.63,166,SUP-104,7,0
2024-10-14,CB-1018,Terminal Block,71.0,80.2,150.23,643,SUP-106,35,0
2025-11-03,CB-1068,Molded Case,54.0,51.8,171.64,133,SUP-108,35,0
2024-02-26,CB-1066,Terminal Block,55.0,52.0,100.99,232,SUP-106,42,0
2024-06-17,CB-1025,Trip Unit,98.0,90.8,102.83,152,SUP-101,28,0
2024-11-11,CB-1004,Molded Case,118.0,106.0,82.44,293,SUP-104,35,0
2025-03-17,CB-1012,Molded Case,185.0,171.8,123.74,9,SUP-100,21,0
2024-11-04,CB-1103,Contact Assembly,53.0,64.0,21.19,389,SUP-107,42,0
2025-04-28,CB-1033,Trip Unit,21.0,34.2,146.99,86,SUP-109,21,0
2024-10-28,CB-1029,Trip Unit,70.0,67.0,153.98,55,SUP-105,14,0
2025-12-15,CB-1013,Trip Unit,54.0,95.8,60.33,154,SUP-101,21,0
2024-04-15,CB-1181,Trip Unit,79.0,83.2,128.45,77,SUP-101,14,0
2025-09-08,CB-1010,Terminal Block,0.0,0.0,140.66,61,SUP-110,21,0
2024-10-28,CB-1099,Contact Assembly,0.0,0.0,75.73,15,SUP-103,35,0
2025-09-01,CB-1036,Molded Case,39.0,44.0,91.44,135,SUP-100,35,0
2025-01-06,CB-1012,Molded Case,131.0,132.5,123.74,528,SUP-100,21,0
2025-07-14,CB-1198,Terminal Block,118.0,125.8,142.27,345,SUP-106,28,0
2025-10-27,CB-1131,Contact Assembly,24.0,32.0,97.06,53,SUP-111,14,0
2024-09-09,CB-1133,Trip Unit,9.0,21.8,125.83,111,SUP-101,7,0
2024-10-14,CB-1031,Contact Assembly,42.0,42.5,119.99,138,SUP-107,42,0
2025-12-22,CB-1031,Contact Assembly,56.0,57.7,119.99,57,SUP-107,42,0
2025-01-13,CB-1140,Molded Case,28.0,31.0,19.37,94,SUP-108,42,0
2025-07-28,CB-1003,Contact Assembly,0.0,25.8,142.03,18,SUP-103,35,0
2025-09-22,CB-1012,Molded Case,111.0,107.0,123.74,376,SUP-100,21,0
