sku_id,week_ahead,forecast_qty
CB-1027,8,76.09
CB-1028,1,120.8
CB-1028,2,124.07
CB-1028,3,127.41
CB-1028,4,130.77
CB-1028,5,134.12
CB-1028,6,137.4
CB-1028,7,140.57
CB-1028,8,143.58
CB-1029,1,94.29
CB-1029,2,96.86
CB-1029,3,99.49
CB-1029,4,102.14
CB-1029,5,104.77
CB-1029,6,107.36
CB-1029,7,109.85
CB-1029,8,112.22
CB-1030,1,110.28
CB-1030,2,113.24
CB-1030,3,116.26
CB-1030,4,119.31
CB-1030,5,122.33
CB-1030,6,125.3
CB-1030,7,128.16
CB-1030,8,130.87
CB-1031,1,61.36
CB-1031,2,62.95
CB-1031,3,64.56
CB-1031,4,66.18
CB-1031,5,67.8
CB-1031,6,69.37
CB-1031,7,70.89
CB-1031,8,72.32
CB-1032,1,51.34
CB-1032,2,52.67
CB-1032,3,54.02
CB-1032,4,55.38
CB-1032,5,56.72
CB-1032,6,58.04
CB-1032,7,59.31
CB-1032,8,60.51
CB-1033,1,31.65
CB-1033,2,32.47
CB-1033,3,33.31
CB-1033,4,34.14
CB-1033,5,34.97
CB-1033,6,35.79
CB-1033,7,36.57
CB-1033,8,37.31
CB-1034,1,90.65
CB-1034,2,93.15
CB-1034,3,95.66
CB-1034,4,98.16
CB-1034,5,100.63
CB-1034,6,103.04
CB-1034,7,105.34
CB-1034,8,107.51
CB-1035,1,133.43
CB-1035,2,137.05
CB-1035,3,140.73
CB-1035,4,144.44
CB-1035,5,148.13
CB-1035,6,151.75
CB-1035,7,155.24
CB-1035,8,158.55
CB-1036,1,60.22
CB-1036,2,61.83
CB-1036,3,63.49
CB-1036,4,65.15
CB-1036,5,66.8
CB-1036,6,68.42
CB-1036,7,69.98
CB-1036,8,71.46
CB-1037,1,69.82
CB-1037,2,71.73
CB-1037,3,73.69
CB-1037,4,75.65
CB-1037,5,77.61
CB-1037,6,79.53
CB-1037,7,81.39
CB-1037,8,83.15
CB-1038,1,61.09
CB-1038,2,62.66
CB-1038,3,64.27
CB-1038,4,65.89
CB-1038,5,67.49
CB-1038,6,69.06
CB-1038,7,70.57
CB-1038,8,71.99
CB-1039,1,41.07
CB-1039,2,42.13
CB-1039,3,43.21
CB-1039,4,44.3
CB-1039,5,45.38
CB-1039,6,46.44
CB-1039,7,47.46
CB-1039,8,48.41
CB-1040,1,70.46
CB-1040,2,72.39
CB-1040,3,74.37
CB-1040,4,76.36
CB-1040,5,78.34
CB-1040,6,80.29
CB-1040,7,82.17
CB-1040,8,83.95
CB-1041,1,10.47
CB-1041,2,10.47
CB-1041,3,10.47
CB-1041,4,10.47
CB-1041,5,10.47
CB-1041,6,10.47
CB-1041,7,10.47
CB-1041,8,10.47
CB-1042,1,7.98
CB-1042,2,7.98
CB-1042,3,7.98
CB-1042,4,7.98
CB-1042,5,7.98
CB-1042,6,7.98
CB-1042,7,7.98
CB-1042,8,7.98
CB-1043,1,33.43
CB-1043,2,34.29
CB-1043,3,35.17
CB-1043,4,36.06
CB-1043,5,36.93
CB-1043,6,37.79
CB-1043,7,38.62
CB-1043,8,39.4
CB-1044,1,90.02
CB-1044,2,92.45
CB-1044,3,94.92
CB-1044,4,97.42
CB-1044,5,99.9
CB-1044,6,102.33
CB-1044,7,104.68
CB-1044,8,106.9
CB-1045,1,60.55
CB-1045,2,62.12
CB-1045,3,63.71
CB-1045,4,65.32
CB-1045,5,66.91
CB-1045,6,68.47
CB-1045,7,69.97
CB-1045,8,71.38
CB-1046,1,61.35
CB-1046,2,63.07
CB-1046,3,64.82
CB-1046,4,66.59
CB-1046,5,68.35
CB-1046,6,70.08
CB-1046,7,71.76
CB-1046,8,73.35
CB-1047,1,6.93
CB-1047,2,6.93
CB-1047,3,6.93
CB-1047,4,6.93
CB-1047,5,6.93
CB-1047,6,6.93
CB-1047,7,6.93
CB-1047,8,6.93
CB-1048,1,69.66
CB-1048,2,71.56
CB-1048,3,73.5
CB-1048,4,75.44
CB-1048,5,77.38
CB-1048,6,79.29
CB-1048,7,81.12
CB-1048,8,82.86
CB-1049,1,91.87
CB-1049,2,94.24
CB-1049,3,96.66
CB-1049,4,99.09
CB-1049,5,101.51
CB-1049,6,103.86
CB-1049,7,106.13
CB-1049,8,108.27
CB-1050,1,56.68
CB-1050,2,58.14
CB-1050,3,59.63
CB-1050,4,61.13
CB-1050,5,62.62
CB-1050,6,64.08
CB-1050,7,65.48
CB-1050,8,66.8
CB-1051,1,24.36
CB-1051,2,24.98
CB-1051,3,25.63
CB-1051,4,26.27
CB-1051,5,26.91
CB-1051,6,27.54
CB-1051,7,28.14
CB-1051,8,28.7
CB-1052,1,83.05
CB-1052,2,85.31
CB-1052,3,87.58
CB-1052,4,89.86
CB-1052,5,92.11
CB-1052,6,94.29
CB-1052,7,96.39
CB-1052,8,98.37
CB-1053,1,86.04
CB-1053,2,88.39
CB-1053,3,90.78
CB-1053,4,93.2
CB-1053,5,95.6
CB-1053,6,97.95
CB-1053,7,100.23
CB-1053,8,102.38
CB-1054,1,132.59
CB-1054,2,136.19
CB-1054,3,139.86
CB-1054,4,143.56
CB-1054,5,147.24
CB-1054,6,150.85
CB-1054,7,154.34
CB-1054,8,157.64
CB-1055,1,95.87
CB-1055,2,98.46
CB-1055,3,101.1
CB-1055,4,103.76
CB-1055,5,106.4
CB-1055,6,108.99
CB-1055,7,111.49
CB-1055,8,113.86
CB-1056,1,4.18
CB-1056,2,4.18
CB-1056,3,4.18
CB-1056,4,4.18
CB-1056,5,4.18
CB-1056,6,4.18
CB-1056,7,4.18
CB-1056,8,4.18
CB-1057,1,31.53
CB-1057,2,32.35
CB-1057,3,33.19
CB-1057,4,34.03
CB-1057,5,34.87
CB-1057,6,35.69
CB-1057,7,36.47
CB-1057,8,37.22
CB-1058,1,22.3
CB-1058,2,22.88
CB-1058,3,23.47
CB-1058,4,24.07
CB-1058,5,24.66
CB-1058,6,25.23
CB-1058,7,25.79
CB-1058,8,26.31
CB-1059,1,74.44
CB-1059,2,76.48
CB-1059,3,78.55
CB-1059,4,80.65
CB-1059,5,82.73
CB-1059,6,84.77
CB-1059,7,86.75
CB-1059,8,88.62
CB-1060,1,85.02
CB-1060,2,87.29
CB-1060,3,89.61
CB-1060,4,91.95
CB-1060,5,94.27
CB-1060,6,96.54
CB-1060,7,98.74
CB-1060,8,100.81
CB-1061,1,6.02
CB-1061,2,6.02
CB-1061,3,6.02
CB-1061,4,6.02
CB-1061,5,6.02
CB-1061,6,6.02
CB-1061,7,6.02
CB-1061,8,6.02
CB-1062,1,45.6
CB-1062,2,46.78
CB-1062,3,47.98
CB-1062,4,49.19
CB-1062,5,50.38
CB-1062,6,51.56
CB-1062,7,52.68
CB-1062,8,53.74
CB-1063,1,31.14
CB-1063,2,31.98
CB-1063,3,32.82
CB-1063,4,33.67
CB-1063,5,34.51
CB-1063,6,35.32
CB-1063,7,36.11
CB-1063,8,36.85
CB-1064,1,77.26
CB-1064,2,79.25
CB-1064,3,81.27
CB-1064,4,83.31
CB-1064,5,85.34
CB-1064,6,87.32
CB-1064,7,89.22
CB-1064,8,91.02
CB-1065,1,73.31
CB-1065,2,75.29
CB-1065,3,77.31
CB-1065,4,79.34
CB-1065,5,81.37
CB-1065,6,83.35
CB-1065,7,85.27
CB-1065,8,87.08
CB-1066,1,51.77
CB-1066,2,53.18
CB-1066,3,54.63
CB-1066,4,56.08
CB-1066,5,57.53
CB-1066,6,58.95
CB-1066,7,60.32
CB-1066,8,61.62
CB-1067,1,88.61
CB-1067,2,90.97
CB-1067,3,93.38
CB-1067,4,95.81
CB-1067,5,98.22
CB-1067,6,100.58
CB-1067,7,102.86
CB-1067,8,105.01
CB-1068,1,64.7
CB-1068,2,66.47
CB-1068,3,68.27
CB-1068,4,70.09
CB-1068,5,71.9
CB-1068,6,73.67
CB-1068,7,75.39
CB-1068,8,77.02
CB-1069,1,138.38
CB-1069,2,142.05
CB-1069,3,145.78
CB-1069,4,149.51
CB-1069,5,153.21
CB-1069,6,156.81
CB-1069,7,160.27
CB-1069,8,163.53
CB-1070,1,4.67
CB-1070,2,4.67
CB-1070,3,4.67
CB-1070,4,4.67
CB-1070,5,4.67
CB-1070,6,4.67
CB-1070,7,4.67
CB-1070,8,4.67
CB-1071,1,111.69
CB-1071,2,115.64
CB-1071,3,119.64
CB-1071,4,123.64
CB-1071,5,127.62
CB-1071,6,131.51
CB-1071,7,135.28
CB-1071,8,138.87
CB-1072,1,4.13
CB-1072,2,4.13
CB-1072,3,4.13
CB-1072,4,4.13
CB-1072,5,4.13
CB-1072,6,4.13
CB-1072,7,4.13
CB-1072,8,4.13
CB-1073,1,6.53
CB-1073,2,6.53
CB-1073,3,6.53
CB-1073,4,6.53
CB-1073,5,6.53
CB-1073,6,6.53
CB-1073,7,6.53
CB-1073,8,6.53
CB-1074,1,79.28
CB-1074,2,81.44
CB-1074,3,83.64
CB-1074,4,85.86
CB-1074,5,88.07
CB-1074,6,90.23
CB-1074,7,92.32
CB-1074,8,94.3
CB-1075,1,82.36
CB-1075,2,84.49
CB-1075,3,86.66
CB-1075,4,88.84
CB-1075,5,91.0
CB-1075,6,93.12
CB-1075,7,95.15
CB-1075,8,97.07
CB-1076,1,75.12
CB-1076,2,77.17
CB-1076,3,79.26
CB-1076,4,81.37
CB-1076,5,83.47
CB-1076,6,85.53
CB-1076,7,87.51
CB-1076,8,89.4
CB-1077,1,7.39
CB-1077,2,7.39
CB-1077,3,7.39
CB-1077,4,7.39
CB-1077,5,7.39
CB-1077,6,7.39
CB-1077,7,7.39
CB-1077,8,7.39
CB-1078,1,9.75
CB-1078,2,9.75
CB-1078,3,9.75
CB-1078,4,9.75
CB-1078,5,9.75
CB-1078,6,9.75
CB-1078,7,9.75
CB-1078,8,9.75
CB-1079,1,47.57
CB-1079,2,48.84
CB-1079,3,50.12
CB-1079,4,51.41
CB-1079,5,52.69
CB-1079,6,53.94
CB-1079,7,55.14
CB-1079,8,56.27
CB-1080,1,60.23
CB-1080,2,61.88
CB-1080,3,63.56
CB-1080,4,65.25
CB-1080,5,66.94
CB-1080,6,68.59
CB-1080,7,70.19
CB-1080,8,71.7
CB-1081,1,10.56
CB-1081,2,10.56
CB-1081,3,10.56
CB-1081,4,10.56
CB-1081,5,10.56
CB-1081,6,10.56
CB-1081,7,10.56
CB-1081,8,10.56
CB-1082,1,84.75
CB-1082,2,87.07
CB-1082,3,89.44
CB-1082,4,91.82
CB-1082,5,94.2
CB-1082,6,96.52
CB-1082,7,98.78
CB-1082,8,100.91
CB-1083,1,103.58
CB-1083,2,106.31
CB-1083,3,109.09
CB-1083,4,111.88
CB-1083,5,114.65
CB-1083,6,117.36
CB-1083,7,119.97
CB-1083,8,122.43
CB-1084,1,136.88
CB-1084,2,140.51
CB-1084,3,144.19
CB-1084,4,147.88
CB-1084,5,151.54
CB-1084,6,155.1
CB-1084,7,158.52
CB-1084,8,161.74
CB-1085,1,98.56
CB-1085,2,101.36
CB-1085,3,104.21
CB-1085,4,107.08
CB-1085,5,109.95
CB-1085,6,112.77
CB-1085,7,115.51
CB-1085,8,118.11
CB-1086,1,8.25
CB-1086,2,8.25
CB-1086,3,8.25
CB-1086,4,8.25
CB-1086,5,8.25
CB-1086,6,8.25
CB-1086,7,8.25
CB-1086,8,8.25
CB-1087,1,76.31
CB-1087,2,78.42
CB-1087,3,80.57
CB-1087,4,82.74
CB-1087,5,84.89
CB-1087,6,87.01
CB-1087,7,89.06
CB-1087,8,91.0
CB-1088,1,4.57
CB-1088,2,4.57
CB-1088,3,4.57
CB-1088,4,4.57
CB-1088,5,4.57
CB-1088,6,4.57
CB-1088,7,4.57
CB-1088,8,4.57
CB-1089,1,97.11
CB-1089,2,99.76
CB-1089,3,102.46
CB-1089,4,105.18
CB-1089,5,107.88
CB-1089,6,110.54
CB-1089,7,113.11
CB-1089,8,115.54
CB-1090,1,7.78
CB-1090,2,7.78
CB-1090,3,7.78
CB-1090,4,7.78
CB-1090,5,7.78
CB-1090,6,7.78
CB-1090,7,7.78
CB-1090,8,7.78
CB-1091,1,5.05
CB-1091,2,5.05
CB-1091,3,5.05
CB-1091,4,5.05
CB-1091,5,5.05
CB-1091,6,5.05
CB-1091,7,5.05
CB-1091,8,5.05
CB-1092,1,28.29
CB-1092,2,29.02
CB-1092,3,29.76
CB-1092,4,30.51
CB-1092,5,31.26
CB-1092,6,31.98
CB-1092,7,32.68
CB-1092,8,33.34
CB-1093,1,82.03
CB-1093,2,84.25
CB-1093,3,86.52
CB-1093,4,88.8
CB-1093,5,91.07
CB-1093,6,93.29
CB-1093,7,95.44
CB-1093,8,97.47
CB-1094,1,60.02
CB-1094,2,61.63
CB-1094,3,63.27
CB-1094,4,64.93
CB-1094,5,66.57
CB-1094,6,68.18
CB-1094,7,69.74
CB-1094,8,71.21
CB-1095,1,4.93
CB-1095,2,4.93
CB-1095,3,4.93
CB-1095,4,4.93
CB-1095,5,4.93
CB-1095,6,4.93
CB-1095,7,4.93
CB-1095,8,4.93
CB-1096,1,51.74
CB-1096,2,53.13
CB-1096,3,54.54
CB-1096,4,55.97
CB-1096,5,57.38
CB-1096,6,58.77
CB-1096,7,60.11
CB-1096,8,61.38
CB-1097,1,8.85
CB-1097,2,8.85
CB-1097,3,8.85
CB-1097,4,8.85
CB-1097,5,8.85
CB-1097,6,8.85
CB-1097,7,8.85
CB-1097,8,8.85
CB-1098,1,46.69
CB-1098,2,47.9
CB-1098,3,49.13
CB-1098,4,50.37
CB-1098,5,51.6
CB-1098,6,52.8
CB-1098,7,53.95
CB-1098,8,55.04
CB-1099,1,7.33
CB-1099,2,7.33
CB-1099,3,7.33
CB-1099,4,7.33
CB-1099,5,7.33
CB-1099,6,7.33
CB-1099,7,7.33
CB-1099,8,7.33
CB-1100,1,125.96
CB-1100,2,129.34
CB-1100,3,132.79
CB-1100,4,136.26
CB-1100,5,139.71
CB-1100,6,143.1
CB-1100,7,146.36
CB-1100,8,149.45
CB-1101,1,55.42
CB-1101,2,56.85
CB-1101,3,58.31
CB-1101,4,59.78
CB-1101,5,61.24
CB-1101,6,62.66
CB-1101,7,64.03
CB-1101,8,65.32
CB-1102,1,82.4
CB-1102,2,84.65
CB-1102,3,86.95
CB-1102,4,89.26
CB-1102,5,91.55
CB-1102,6,93.81
CB-1102,7,95.99
CB-1102,8,98.05
CB-1103,1,72.82
CB-1103,2,74.7
CB-1103,3,76.62
CB-1103,4,78.54
CB-1103,5,80.46
CB-1103,6,82.33
CB-1103,7,84.12
CB-1103,8,85.82
CB-1104,1,130.0
CB-1104,2,133.5
CB-1104,3,137.07
CB-1104,4,140.67
CB-1104,5,144.25
CB-1104,6,147.75
CB-1104,7,151.13
CB-1104,8,154.33
CB-1105,1,89.17
CB-1105,2,91.75
CB-1105,3,94.38
CB-1105,4,97.04
CB-1105,5,99.69
CB-1105,6,102.3
CB-1105,7,104.83
CB-1105,8,107.25
CB-1106,1,71.75
CB-1106,2,73.99
CB-1106,3,76.26
CB-1106,4,78.52
CB-1106,5,80.74
CB-1106,6,82.91
CB-1106,7,84.99
CB-1106,8,86.95
CB-1107,1,119.6
CB-1107,2,122.84
CB-1107,3,126.13
CB-1107,4,129.45
CB-1107,5,132.75
CB-1107,6,135.99
CB-1107,7,139.12
CB-1107,8,142.08
CB-1108,1,114.4
CB-1108,2,117.53
CB-1108,3,120.72
CB-1108,4,123.93
CB-1108,5,127.13
CB-1108,6,130.27
CB-1108,7,133.3
CB-1108,8,136.18
CB-1109,1,51.95
CB-1109,2,53.36
CB-1109,3,54.79
CB-1109,4,56.23
CB-1109,5,57.67
CB-1109,6,59.08
CB-1109,7,60.44
CB-1109,8,61.73
CB-1110,1,96.22
CB-1110,2,98.84
CB-1110,3,101.49
CB-1110,4,104.13
CB-1110,5,106.75
CB-1110,6,109.29
CB-1110,7,111.73
CB-1110,8,114.02
CB-1111,1,113.04
CB-1111,2,116.13
CB-1111,3,119.25
CB-1111,4,122.36
CB-1111,5,125.43
CB-1111,6,128.42
CB-1111,7,131.29
CB-1111,8,133.98
CB-1112,1,4.09
CB-1112,2,4.09
CB-1112,3,4.09
CB-1112,4,4.09
CB-1112,5,4.09
CB-1112,6,4.09
CB-1112,7,4.09
CB-1112,8,4.09
CB-1113,1,133.59
CB-1113,2,137.22
CB-1113,3,140.92
CB-1113,4,144.64
CB-1113,5,148.34
CB-1113,6,151.97
CB-1113,7,155.48
CB-1113,8,158.8
CB-1114,1,51.05
CB-1114,2,52.44
CB-1114,3,53.86
CB-1114,4,55.29
CB-1114,5,56.72
CB-1114,6,58.12
CB-1114,7,59.47
CB-1114,8,60.75
CB-1115,1,61.1
CB-1115,2,62.74
CB-1115,3,64.42
CB-1115,4,66.11
CB-1115,5,67.79
CB-1115,6,69.44
CB-1115,7,71.02
CB-1115,8,72.53
CB-1116,1,54.14
CB-1116,2,55.54
CB-1116,3,56.97
CB-1116,4,58.4
CB-1116,5,59.82
CB-1116,6,61.21
CB-1116,7,62.55
CB-1116,8,63.81
CB-1117,1,6.82
CB-1117,2,6.82
CB-1117,3,6.82
CB-1117,4,6.82
CB-1117,5,6.82
CB-1117,6,6.82
CB-1117,7,6.82
CB-1117,8,6.82
CB-1118,1,135.36
CB-1118,2,139.06
CB-1118,3,142.8
CB-1118,4,146.54
CB-1118,5,150.22
CB-1118,6,153.82
CB-1118,7,157.26
CB-1118,8,160.5
CB-1119,1,5.66
CB-1119,2,5.66
CB-1119,3,5.66
CB-1119,4,5.66
CB-1119,5,5.66
CB-1119,6,5.66
CB-1119,7,5.66
CB-1119,8,5.66
CB-1120,1,3.72
CB-1120,2,3.72
CB-1120,3,3.72
CB-1120,4,3.72
CB-1120,5,3.72
CB-1120,6,3.72
CB-1120,7,3.72
CB-1120,8,3.72
CB-1121,1,9.42
CB-1121,2,9.42
CB-1121,3,9.42
CB-1121,4,9.42
CB-1121,5,9.42
CB-1121,6,9.42
CB-1121,7,9.42
CB-1121,8,9.42
CB-1122,1,59.94
CB-1122,2,61.49
CB-1122,3,63.07
CB-1122,4,64.66
CB-1122,5,66.23
CB-1122,6,67.77
CB-1122,7,69.25
CB-1122,8,70.65
CB-1123,1,69.6
CB-1123,2,71.48
CB-1123,3,73.39
CB-1123,4,75.31
CB-1123,5,77.22
CB-1123,6,79.09
CB-1123,7,80.89
CB-1123,8,82.6
CB-1124,1,105.34
CB-1124,2,108.22
CB-1124,3,111.15
CB-1124,4,114.08
CB-1124,5,117.0
CB-1124,6,119.84
CB-1124,7,122.58
CB-1124,8,125.16
CB-1125,1,71.63
CB-1125,2,73.49
CB-1125,3,75.37
CB-1125,4,77.27
CB-1125,5,79.15
CB-1125,6,80.99
CB-1125,7,82.76
CB-1125,8,84.43
CB-1126,1,132.02
CB-1126,2,135.48
CB-1126,3,138.98
CB-1126,4,142.5
CB-1126,5,145.99
CB-1126,6,149.4
CB-1126,7,152.68
CB-1126,8,155.77
CB-1127,1,71.75
CB-1127,2,73.71
CB-1127,3,75.7
CB-1127,4,77.71
CB-1127,5,79.71
CB-1127,6,81.67
CB-1127,7,83.57
CB-1127,8,85.36
CB-1128,1,81.61
CB-1128,2,83.83
CB-1128,3,86.08
CB-1128,4,88.36
CB-1128,5,90.62
CB-1128,6,92.85
CB-1128,7,94.99
CB-1128,8,97.02
CB-1129,1,8.58
CB-1129,2,8.58
CB-1129,3,8.58
CB-1129,4,8.58
CB-1129,5,8.58
CB-1129,6,8.58
CB-1129,7,8.58
CB-1129,8,8.58
CB-1130,1,19.73
CB-1130,2,20.23
CB-1130,3,20.73
CB-1130,4,21.24
CB-1130,5,21.75
CB-1130,6,22.24
CB-1130,7,22.71
CB-1130,8,23.15
CB-1131,1,43.05
CB-1131,2,44.19
CB-1131,3,45.35
CB-1131,4,46.51
CB-1131,5,47.67
CB-1131,6,48.81
CB-1131,7,49.9
CB-1131,8,50.93
CB-1132,1,59.82
CB-1132,2,61.38
CB-1132,3,62.96
CB-1132,4,64.55
CB-1132,5,66.13
CB-1132,6,67.68
CB-1132,7,69.16
CB-1132,8,70.56
CB-1133,1,39.34
CB-1133,2,40.4
CB-1133,3,41.49
CB-1133,4,42.59
CB-1133,5,43.68
CB-1133,6,44.75
CB-1133,7,45.79
CB-1133,8,46.77
CB-1134,1,9.81
CB-1134,2,9.81
CB-1134,3,9.81
CB-1134,4,9.81
CB-1134,5,9.81
CB-1134,6,9.81
CB-1134,7,9.81
CB-1134,8,9.81
CB-1135,1,41.39
CB-1135,2,42.56
CB-1135,3,43.75
CB-1135,4,44.94
CB-1135,5,46.14
CB-1135,6,47.31
CB-1135,7,48.45
CB-1135,8,49.53
CB-1136,1,80.25
CB-1136,2,82.44
CB-1136,3,84.68
CB-1136,4,86.93
CB-1136,5,89.17
CB-1136,6,91.37
CB-1136,7,93.49
CB-1136,8,95.5
CB-1137,1,125.27
CB-1137,2,128.69
CB-1137,3,132.17
CB-1137,4,135.69
CB-1137,5,139.18
CB-1137,6,142.61
CB-1137,7,145.92
CB-1137,8,149.07
CB-1138,1,63.87
CB-1138,2,65.52
CB-1138,3,67.2
CB-1138,4,68.89
CB-1138,5,70.57
CB-1138,6,72.21
CB-1138,7,73.78
CB-1138,8,75.27
CB-1139,1,4.33
CB-1139,2,4.33
CB-1139,3,4.33
CB-1139,4,4.33
CB-1139,5,4.33
CB-1139,6,4.33
CB-1139,7,4.33
CB-1139,8,4.33
CB-1140,1,32.49
CB-1140,2,33.4
CB-1140,3,34.32
CB-1140,4,35.25
CB-1140,5,36.17
CB-1140,6,37.08
CB-1140,7,37.96
CB-1140,8,38.79
CB-1141,1,35.56
CB-1141,2,36.48
CB-1141,3,37.41
CB-1141,4,38.36
CB-1141,5,39.29
CB-1141,6,40.21
CB-1141,7,41.09
CB-1141,8,41.92
CB-1142,1,72.32
CB-1142,2,74.24
CB-1142,3,76.19
CB-1142,4,78.16
CB-1142,5,80.11
CB-1142,6,82.03
CB-1142,7,83.87
CB-1142,8,85.61
CB-1143,1,40.87
CB-1143,2,42.02
CB-1143,3,43.19
CB-1143,4,44.36
CB-1143,5,45.54
CB-1143,6,46.69
CB-1143,7,47.81
CB-1143,8,48.87
CB-1144,1,29.94
CB-1144,2,30.71
CB-1144,3,31.5
CB-1144,4,32.29
CB-1144,5,33.08
CB-1144,6,33.85
CB-1144,7,34.59
CB-1144,8,35.29
CB-1145,1,4.76
CB-1145,2,4.76
CB-1145,3,4.76
CB-1145,4,4.76
CB-1145,5,4.76
CB-1145,6,4.76
CB-1145,7,4.76
CB-1145,8,4.76
CB-1146,1,103.66
CB-1146,2,106.34
CB-1146,3,109.06
